Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
revtex4|texmf-dist|tex|latex/revtex4|revtex4.cls|5.705
revtex4|texmf-dist|tex|latex/natbib|natbib.sty|5.705
revtex4|texmf-dist|tex|latex/revtex4|revsymb.sty|5.704
revtex4|texmf-dist|tex|latex/url|url.sty|5.702
revtex4|texmf-dist|tex|latex/revtex4|aps.rtx|5.699
revtex4|texmf-dist|fonts|map/fontname|texfonts.map|5.695
amsart|texmf-dist|tex|latex/url|url.sty|5.660
article|texmf-dist|tex|generic/ifxetex|ifxetex.sty|5.614
elsarticle|texmf-dist|tex|latex/txfonts|txfonts.sty|5.613
elsarticle|texmf-dist|tex|latex/txfonts|omxtxex.fd|5.603
elsarticle|texmf-dist|tex|latex/txfonts|utxexa.fd|5.603
elsarticle|texmf-dist|tex|latex/txfonts|omltxmi.fd|5.602
elsarticle|texmf-dist|tex|latex/txfonts|utxmia.fd|5.602
elsarticle|texmf-dist|tex|latex/txfonts|utxsyc.fd|5.600
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txmia.tfm|5.600
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txsyc.tfm|5.600
elsarticle|texmf-dist|tex|latex/txfonts|omstxsy.fd|5.584
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txexa.tfm|5.577
amsart|texmf-dist|tex|latex/graphics|color.sty|5.572
amsart|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|5.569
elsarticle|texmf-dist|tex|latex/txfonts|ot1txr.fd|5.528
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txi.tfm|5.516
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy10.pfb|5.492
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txr.tfm|5.477
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txsy.tfm|5.462
article|texmf-dist|tex|latex/latexconfig|epstopdf-sys.cfg|5.460
elsarticle|texmf-dist|fonts|tfm/public/txfonts|txmi.tfm|5.458
revtex4|texmf-dist|tex|latex/graphics|trig.sty|5.440
