First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|fonts|vf/adobe/times|ptmr8c.vf|0.065
texmf-dist|fonts|type1/public/amsfonts/latxfont|linew10.pfb|0.065
texmf-dist|tex|generic/pictex|pictexwd.sty|0.065
texmf-dist|tex|generic/unicode-data|CaseFolding.txt|0.065
texmf-dist|tex|generic/unicode-data|UnicodeData.txt|0.065
texmf-dist|tex|latex/t2|mathtext.sty|0.065
texmf-dist|tex|latex/cite|chapterbib.sty|0.065
texmf-dist|fonts|tfm/public/amsfonts/dummy|dummy.tfm|0.065
texmf-dist|tex|latex/simplewick|simplewick.sty|0.065
texmf-dist|tex|latex/apacite|english.apc|0.065
texmf-dist|fonts|tfm/public/lm|rm-lmtt10.tfm|0.065
texmf-dist|doc|otherformats/lollipop/manual|appendix.tex|0.065
texmf-dist|fonts|type1/public/cm-super|sfcc1200.pfb|0.065
texmf-dist|tex|latex/ifplatform|ifplatform.sty|0.064
texmf-dist|tex|latex/pbox|pbox.sty|0.064
texmf-dist|fonts|tfm/public/txfonts|rtxptmro.tfm|0.064
texmf-dist|fonts|type1/public/lm|lmbx9.pfb|0.064
texmf-dist|fonts|tfm/public/amsfonts/cyrillic|wncyr5.tfm|0.064
texmf-dist|fonts|tfm/public/txfonts|rtxsl.tfm|0.064
texmf-dist|tex|generic/pst-arrow|pst-arrow.tex|0.064
texmf-dist|tex|generic/babel|ngermanb.ldf|0.064
texmf-dist|tex|latex/savesym|savesym.sty|0.064
texmf-dist|tex|latex/pb-diagram|pb-xy.sty|0.064
texmf-dist|tex|latex/blindtext|blindtext.sty|0.062
texmf-dist|fonts|tfm/public/amsfonts/cyrillic|wncyr8.tfm|0.062
texmf-dist|tex|latex/oberdiek|colonequals.sty|0.062
texmf-dist|tex|latex/mathdesign|mathdesign.sty|0.062
texmf-dist|fonts|type1/public/bbold-type1|bbold10.pfb|0.062
texmf-dist|tex|latex/cbfonts-fd|lgrcmr.fd|0.062
texmf-dist|fonts|type1/public/cm-super|sftt1095.pfb|0.062
texmf-dist|fonts|type1/public/lm|lmsy9.pfb|0.062
texmf-dist|tex|generic/pictex|pictex.sty|0.061
texmf-dist|tex|latex/complexity|complexity.sty|0.061
texmf-dist|fonts|tfm/adobe/palatino|pplbi7t.tfm|0.061
texmf-dist|tex|latex/changepage|changepage.sty|0.061
texmf-dist|fonts|tfm/public/cm|cmssi9.tfm|0.061
texmf-dist|tex|generic/dcpic|dcpic.sty|0.060
texmf-dist|tex|latex/IEEEtran|IEEEtrantools.sty|0.060
texmf-dist|fonts|tfm/public/amsfonts/cyrillic|wncyr7.tfm|0.060
texmf-dist|fonts|tfm/jknappen/ec|ecsx1200.tfm|0.060
texmf-dist|tex|latex/mathdesign|mdbcmr.fd|0.060
texmf-dist|tex|latex/complexity|mycomplexity.sty|0.060
texmf-dist|fonts|vf/public/ae|aer8.vf|0.060
texmf-dist|fonts|type1/public/lm|lmr17.pfb|0.060
texmf-dist|tex|latex/pict2e|p2e-pdftex.def|0.060
texmf-dist|fonts|type1/public/lm|lmri12.pfb|0.058
texmf-dist|tex|latex/was|fixmath.sty|0.058
texmf-dist|tex|latex/gb4e|cgloss4e.sty|0.058
texmf-dist|tex|latex/mdwtools|mdwtab.sty|0.058
texmf-dist|fonts|vf/public/txfonts|txsl.vf|0.058
texmf-dist|fonts|type1/public/cm-super|sfcc1095.pfb|0.058
texmf-dist|tex|latex/mathdesign|mdacmr.fd|0.058
